"citation","Experimental System","Experimental System Type","interaction","Modification","name","Phenotypes","Qualifications","Score","selected","shared interaction","shared name","Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) PTPRN2","","",,"false","interacts-with","HNRNPL (interacts-with) PTPRN2","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","MYH7 (interacts-with) SPTAN1","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","MYH7 (interacts-with) SPTAN1","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","MYO1C (interacts-with) SPTAN1","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","MYO1C (interacts-with) SPTAN1","High Throughput"
"pubmed:12629039","Biochemical Activity","physical","interacts-with","Ubiquitination","RAG1 (interacts-with) UBC","","RAG1 ring domain creates poly-ubiquitin chains in vitro in the presence of UbcH5b",,"false","interacts-with","RAG1 (interacts-with) UBC","Low Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","MYH11 (interacts-with) INF2","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","MYH11 (interacts-with) INF2","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","FLNA (interacts-with) SPTAN1","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","FLNA (interacts-with) SPTAN1","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","MYO1C (interacts-with) INF2","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","MYO1C (interacts-with) INF2","High Throughput"
"pubmed:11086001","Two-hybrid","physical","interacts-with","","PTPRN2 (interacts-with) SPTBN4","","",,"false","interacts-with","PTPRN2 (interacts-with) SPTBN4","Low Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","ZNF837 (interacts-with) ZNF587","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","ZNF837 (interacts-with) ZNF587","High Throughput"
"pubmed:26626481|pubmed:32416067|pubmed:30554943","Affinity Capture-Western|Affinity Capture-MS","physical","interacts-with","","CHD8 (interacts-with) BRD4","","AP-MS with a recombinant BRD4-ET domain identified 151 high-confidence interactors.|FLAG AP-MS dataset using FLAG-tagged BET bait proteins (Table S2A)|High confidence interactions have a Bayesian FDR=<1%|Untreated sample",,"false","interacts-with","CHD8 (interacts-with) BRD4","Low Throughput|High Throughput"
"pubmed:31059266","Affinity Capture-MS","physical","interacts-with","","NFX1 (interacts-with) KPRP","","",,"false","interacts-with","NFX1 (interacts-with) KPRP","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) RRBP1","","",,"false","interacts-with","HNRNPL (interacts-with) RRBP1","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","ZNF837 (interacts-with) KRTAP4-11","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","ZNF837 (interacts-with) KRTAP4-11","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","VCL (interacts-with) SPTAN1","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","VCL (interacts-with) SPTAN1","High Throughput"
"pubmed:30194290","Proximity Label-MS","physical","interacts-with","","NRAS (interacts-with) PTK7","","BioID system:Biotin-labled proteins with at least a 2-fold enrichment and p-value < 0.05 were considered significant.","3.251895029","false","interacts-with","NRAS (interacts-with) PTK7","High Throughput"
"pubmed:30652415","Affinity Capture-MS","physical","interacts-with","","PRKD2 (interacts-with) PRKD2","","",,"false","interacts-with","PRKD2 (interacts-with) PRKD2","High Throughput"
"pubmed:20068069","Reconstituted Complex","physical","interacts-with","","UBC (interacts-with) CLU","","#LPPI|Likely protein-protein interaction",,"false","interacts-with","UBC (interacts-with) CLU","Low Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","ZNF837 (interacts-with) KRTAP4-5","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","ZNF837 (interacts-with) KRTAP4-5","High Throughput"
"pubmed:32203420","Affinity Capture-MS","physical","interacts-with","","VAV1 (interacts-with) PLEC","","prey proteins were classified into confidence-level categories of gold (highest confidence), silver or bronze based on various criteria|tagged bait proteins were affinity purified and associated proteins identified by mass spectrometry|the score provided is the CompPASS Z-score|this interaction was classified by the authors as being in the gold list","6.87328553","false","interacts-with","VAV1 (interacts-with) PLEC","High Throughput"
"pubmed:32203420","Affinity Capture-MS","physical","interacts-with","","VAV1 (interacts-with) POTEE","","prey proteins were classified into confidence-level categories of gold (highest confidence), silver or bronze based on various criteria|tagged bait proteins were affinity purified and associated proteins identified by mass spectrometry|the score provided is the CompPASS Z-score|this interaction was classified by the authors as being in the gold list","7.778067027","false","interacts-with","VAV1 (interacts-with) POTEE","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) SLC7A1","","",,"false","interacts-with","HNRNPL (interacts-with) SLC7A1","High Throughput"
"pubmed:30652415","Affinity Capture-MS","physical","interacts-with","","PRKD2 (interacts-with) CUL9","","",,"false","interacts-with","PRKD2 (interacts-with) CUL9","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","KIR3DL3 (interacts-with) HLA-C","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.894680059, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.894680059","false","interacts-with","KIR3DL3 (interacts-with) HLA-C","High Throughput"
"pubmed:11278395","Biochemical Activity","physical","interacts-with","Phosphorylation","MAP3K10 (interacts-with) MAP3K10","","",,"false","interacts-with","MAP3K10 (interacts-with) MAP3K10","Low Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","ZNF837 (interacts-with) KRTAP5-9","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","ZNF837 (interacts-with) KRTAP5-9","High Throughput"
"pubmed:25416956","Two-hybrid","physical","interacts-with","","TYRO3 (interacts-with) KRTAP10-8","","",,"false","interacts-with","TYRO3 (interacts-with) KRTAP10-8","High Throughput"
"pubmed:32296183","Two-hybrid","physical","interacts-with","","ZNF837 (interacts-with) KRTAP10-7","","This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,"false","interacts-with","ZNF837 (interacts-with) KRTAP10-7","High Throughput"
"pubmed:25416956","Two-hybrid","physical","interacts-with","","TYRO3 (interacts-with) KRTAP10-7","","",,"false","interacts-with","TYRO3 (interacts-with) KRTAP10-7","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) SPTB","","",,"false","interacts-with","HNRNPL (interacts-with) SPTB","High Throughput"
"pubmed:30194290","Proximity Label-MS","physical","interacts-with","","NRAS (interacts-with) SIRPA","","BioID system:Biotin-labled proteins with at least a 2-fold enrichment and p-value < 0.05 were considered significant.","2.19170151","false","interacts-with","NRAS (interacts-with) SIRPA","High Throughput"
"pubmed:25144556","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) MYO1C","","delta-133p53alpha",,"false","interacts-with","TP53 (interacts-with) MYO1C","High Throughput"
"pubmed:30194290","Proximity Label-MS","physical","interacts-with","","NRAS (interacts-with) RAB21","","BioID system:Biotin-labled proteins with at least a 2-fold enrichment and p-value < 0.05 were considered significant.","3.061708323","false","interacts-with","NRAS (interacts-with) RAB21","High Throughput"
"pubmed:30652415","Affinity Capture-MS","physical","interacts-with","","PRKD2 (interacts-with) PLIN4","","",,"false","interacts-with","PRKD2 (interacts-with) PLIN4","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","MBNL1 (interacts-with) AHNAK2","","BioPlex HCT HCT116 cells CompPASS score = 0.9997397, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.9997397","false","interacts-with","MBNL1 (interacts-with) AHNAK2","High Throughput"
"pubmed:23112048","Affinity Capture-MS|Affinity Capture-Western","physical","interacts-with","","USP9X (interacts-with) GEMIN2","","",,"false","interacts-with","USP9X (interacts-with) GEMIN2","Low Throughput"
"pubmed:30652415","Affinity Capture-MS","physical","interacts-with","","PRKD2 (interacts-with) MYH14","","",,"false","interacts-with","PRKD2 (interacts-with) MYH14","High Throughput"
"pubmed:25144556","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) GSN","","delta-133p53alpha",,"false","interacts-with","TP53 (interacts-with) GSN","High Throughput"
"pubmed:24981860","Affinity Capture-MS","physical","interacts-with","","KMT2C (interacts-with) KMT2D","","Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11","68.59988162","false","interacts-with","KMT2C (interacts-with) KMT2D","High Throughput"
"pubmed:25144556","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) FLNA","","delta-133p53alpha",,"false","interacts-with","TP53 (interacts-with) FLNA","High Throughput"
"pubmed:28514442|pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","DCAF12 (interacts-with) BIRC6","","BioPlex 2.0 HEK 293T cells CompPASS score = 0.960264925, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.976417572, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.960264925|0.976417572","false","interacts-with","DCAF12 (interacts-with) BIRC6","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) TRPM2","","",,"false","interacts-with","HNRNPL (interacts-with) TRPM2","High Throughput"
"pubmed:3027087","Reconstituted Complex","physical","interacts-with","","PLEC (interacts-with) SPTA1","","",,"false","interacts-with","PLEC (interacts-with) SPTA1","Low Throughput"
"pubmed:24981860","Affinity Capture-MS","physical","interacts-with","","KMT2D (interacts-with) UTY","","Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11","20.70888466","false","interacts-with","KMT2D (interacts-with) UTY","High Throughput"
"pubmed:3027087|pubmed:11441066","Reconstituted Complex|Affinity Capture-Western","physical","interacts-with","","PLEC (interacts-with) SPTAN1","","",,"false","interacts-with","PLEC (interacts-with) SPTAN1","Low Throughput"
"pubmed:31059266","Affinity Capture-MS","physical","interacts-with","","NFX1 (interacts-with) SRRM2","","",,"false","interacts-with","NFX1 (interacts-with) SRRM2","High Throughput"
"pubmed:19151705","Affinity Capture-Western","physical","interacts-with","","CHD8 (interacts-with) TP53","","",,"false","interacts-with","CHD8 (interacts-with) TP53","Low Throughput"
"pubmed:25144556|pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) HNRNPL","","delta-133p53alpha",,"false","interacts-with","TP53 (interacts-with) HNRNPL","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) ZNF84","","",,"false","interacts-with","HNRNPL (interacts-with) ZNF84","High Throughput"
"pubmed:34079125","Proximity Label-MS","physical","interacts-with","","VCL (interacts-with) NAV1","","BioID|SAINTexpress (v.3.6.1) was used to identify proximity interactions and those with a Bayesian FDR =< 0.01 were considered high confidence. The score represents the fold change of the average spectral count in sample replicates relative to the average in control replicates.","90.0","false","interacts-with","VCL (interacts-with) NAV1","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) ZNF708","","",,"false","interacts-with","HNRNPL (interacts-with) ZNF708","High Throughput"
"pubmed:22939629|pubmed:26641092","Co-fractionation|Affinity Capture-MS","physical","interacts-with","","U2AF2 (interacts-with) SNRNP200","","Denoised score >= 0.75","0.803","false","interacts-with","U2AF2 (interacts-with) SNRNP200","High Throughput|Low Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) ZNF236","","",,"false","interacts-with","HNRNPL (interacts-with) ZNF236","High Throughput"
"pubmed:24981860","Affinity Capture-MS","physical","interacts-with","","KMT2C (interacts-with) UTY","","Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11","20.61709601","false","interacts-with","KMT2C (interacts-with) UTY","High Throughput"
"pubmed:34079125","Proximity Label-MS","physical","interacts-with","","VCL (interacts-with) ENAH","","BioID|SAINTexpress (v.3.6.1) was used to identify proximity interactions and those with a Bayesian FDR =< 0.01 were considered high confidence. The score represents the fold change of the average spectral count in sample replicates relative to the average in control replicates.","5.06","false","interacts-with","VCL (interacts-with) ENAH","High Throughput"
"pubmed:34079125","Proximity Label-MS","physical","interacts-with","","VCL (interacts-with) HNRNPCL1","","BioID|SAINTexpress (v.3.6.1) was used to identify proximity interactions and those with a Bayesian FDR =< 0.01 were considered high confidence. The score represents the fold change of the average spectral count in sample replicates relative to the average in control replicates.","10.0","false","interacts-with","VCL (interacts-with) HNRNPCL1","High Throughput"
"pubmed:25144556","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) HADHB","","delta-133p53alpha",,"false","interacts-with","TP53 (interacts-with) HADHB","High Throughput"
"pubmed:20871633|pubmed:8083962","Affinity Capture-Western|Reconstituted Complex","physical","interacts-with","","RB1 (interacts-with) TP53","","figure 6D.",,"false","interacts-with","RB1 (interacts-with) TP53","Low Throughput"
"pubmed:25144556|pubmed:32807901","Affinity Capture-MS","physical","interacts-with","","TP53 (interacts-with) SLC25A5","","delta-133p53alpha",,"false","interacts-with","TP53 (interacts-with) SLC25A5","High Throughput"
"pubmed:12553908|pubmed:9115440|pubmed:17217336|pubmed:20946988|pubmed:9050988|pubmed:30033366","Reconstituted Complex|Co-crystal Structure|Affinity Capture-Western|Negative Genetic","physical|genetic","interacts-with","","MAX (interacts-with) MAX","Growth abnormality","dimerization|forms a homo-oligomer in vitro that can bind DNA|CRISPR GI screen|Cell Line: K562 EFO:0002067/Jurkat EFO:0002796|Experimental Setup: Timecourse|GIST: A-phenotypic negative/positive genetic interaction|Interactions in this CRISPR interference (CRISPRi) analysis were considered to be significant when GI <= -3 (negative genetic interaction) or GI >= 3 (positive genetic interaction).|K562 cell line Replicate Average GI score = -4.980628009|Library: CRISPRi v1|Significance Threshold: (positive genetic interaction) 3<GI<-3 (negative genetic interaction)",,"false","interacts-with","MAX (interacts-with) MAX","Low Throughput|High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) RAB7A","","",,"false","interacts-with","HNRNPL (interacts-with) RAB7A","High Throughput"
"pubmed:27173435","Affinity Capture-MS","physical","interacts-with","","DENND4A (interacts-with) NF1","","",,"false","interacts-with","DENND4A (interacts-with) NF1","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) TRRAP","","",,"false","interacts-with","HNRNPL (interacts-with) TRRAP","High Throughput"
"pubmed:27705803","Affinity Capture-MS","physical","interacts-with","","CSNK2A1 (interacts-with) KMT2B","","",,"false","interacts-with","CSNK2A1 (interacts-with) KMT2B","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","HLA-C (interacts-with) MROH1","","BioPlex HCT HCT116 cells CompPASS score = 0.910050851, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.910050851","false","interacts-with","HLA-C (interacts-with) MROH1","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","KLRC2 (interacts-with) ATP12A","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.834503491, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.834503491","false","interacts-with","KLRC2 (interacts-with) ATP12A","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","Myo1c (interacts-with) FLNA","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","Myo1c (interacts-with) FLNA","High Throughput"
"pubmed:26124138|pubmed:19118899","Biochemical Activity","physical","interacts-with","Ubiquitination","RAG1 (interacts-with) RAG1","","auto-ubiquitination|E2: UbcH5a/UBE2D",,"false","interacts-with","RAG1 (interacts-with) RAG1","Low Throughput"
"pubmed:26186194","Affinity Capture-MS","physical","interacts-with","","HLA-DRB5 (interacts-with) HLA-A","","BioPlex 1.0 HEK 293T cells CompPASS score = 0.83014897, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.","0.83014897","false","interacts-with","HLA-DRB5 (interacts-with) HLA-A","High Throughput"
"pubmed:30652415","Affinity Capture-MS","physical","interacts-with","","PRKD2 (interacts-with) UTY","","",,"false","interacts-with","PRKD2 (interacts-with) UTY","High Throughput"
"pubmed:24981860","Affinity Capture-MS","physical","interacts-with","","KMT2D (interacts-with) KMT2B","","Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11","20.53822918","false","interacts-with","KMT2D (interacts-with) KMT2B","High Throughput"
"pubmed:25416956","Two-hybrid","physical","interacts-with","","VCL (interacts-with) VCL","","",,"false","interacts-with","VCL (interacts-with) VCL","High Throughput"
"pubmed:21988832","Two-hybrid","physical","interacts-with","","HLA-C (interacts-with) TANK","","",,"false","interacts-with","HLA-C (interacts-with) TANK","High Throughput"
"pubmed:33141564","Affinity Capture-MS","physical","interacts-with","","UBC (interacts-with) PABPC1","","#LPPI|Bait is a photoactivated UBC-probe that traps hits|Likely protein-protein interaction",,"false","interacts-with","UBC (interacts-with) PABPC1","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","RPL15 (interacts-with) ZFP62","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.756080671, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.756080671","false","interacts-with","RPL15 (interacts-with) ZFP62","High Throughput"
"pubmed:33961781","Affinity Capture-MS","physical","interacts-with","","C1QTNF9B (interacts-with) CTSF","","BioPlex 3.0 HEK 293T cells CompPASS score = 0.976571722, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).","0.976571722","false","interacts-with","C1QTNF9B (interacts-with) CTSF","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) FUBP1","","",,"false","interacts-with","HNRNPL (interacts-with) FUBP1","High Throughput"
"pubmed:14667819","Two-hybrid","physical","interacts-with","","NELFE (interacts-with) NCOR1","","",,"false","interacts-with","NELFE (interacts-with) NCOR1","Low Throughput"
"pubmed:1465435|pubmed:12379483|pubmed:8405994|pubmed:8395834|pubmed:10359315|pubmed:11313951|pubmed:10601022|pubmed:8083962","Reconstituted Complex|Affinity Capture-Western","physical","interacts-with","","TBP (interacts-with) TP53","","",,"false","interacts-with","TBP (interacts-with) TP53","Low Throughput"
"pubmed:12917691|pubmed:23405219|pubmed:28900035|pubmed:27591049","Two-hybrid|Affinity Capture-Western|Biochemical Activity|Affinity Capture-MS","physical","interacts-with","Deubiquitination","TRAF2 (interacts-with) CYLD","","",,"false","interacts-with","TRAF2 (interacts-with) CYLD","Low Throughput|High Throughput"
"pubmed:33141564","Affinity Capture-MS","physical","interacts-with","","UBC (interacts-with) EPPK1","","#LPPI|Bait is a photoactivated UBC-probe that traps hits|Likely protein-protein interaction",,"false","interacts-with","UBC (interacts-with) EPPK1","High Throughput"
"pubmed:23455922|pubmed:25852190|pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","ILK (interacts-with) CAD","","exogenous expression of bait|interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","ILK (interacts-with) CAD","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) NUMBL","","",,"false","interacts-with","HNRNPL (interacts-with) NUMBL","High Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) CACNA2D2","","",,"false","interacts-with","HNRNPL (interacts-with) CACNA2D2","High Throughput"
"pubmed:24981860","Affinity Capture-MS","physical","interacts-with","","SETD1A (interacts-with) KMT2C","","Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11","20.44950556","false","interacts-with","SETD1A (interacts-with) KMT2C","High Throughput"
"pubmed:23455922|pubmed:25852190","Affinity Capture-MS","physical","interacts-with","","ILK (interacts-with) FASN","","exogenous expression of bait",,"false","interacts-with","ILK (interacts-with) FASN","High Throughput"
"pubmed:22939629","Co-fractionation","physical","interacts-with","","TOP2B (interacts-with) SNRNP200","","Denoised score >= 0.75","0.796","false","interacts-with","TOP2B (interacts-with) SNRNP200","High Throughput"
"pubmed:20603019","Affinity Capture-Western","physical","interacts-with","","TAL1 (interacts-with) TAL1","","",,"false","interacts-with","TAL1 (interacts-with) TAL1","Low Throughput"
"pubmed:28611215","Affinity Capture-RNA","physical","interacts-with","","HNRNPL (interacts-with) PHF14","","",,"false","interacts-with","HNRNPL (interacts-with) PHF14","High Throughput"
"pubmed:23455922|pubmed:25852190","Affinity Capture-MS","physical","interacts-with","","ILK (interacts-with) GCN1L1","","exogenous expression of bait",,"false","interacts-with","ILK (interacts-with) GCN1L1","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) AHNAK","","hit proteins associated with FANCD2 but were not '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified'",,"false","interacts-with","FANCD2 (interacts-with) AHNAK","High Throughput"
"pubmed:25147182","Affinity Capture-MS","physical","interacts-with","","HUWE1 (interacts-with) RPL15","","",,"false","interacts-with","HUWE1 (interacts-with) RPL15","High Throughput"
"pubmed:16407974","Affinity Capture-MS","physical","interacts-with","","TAL1 (interacts-with) TRRAP","","",,"false","interacts-with","TAL1 (interacts-with) TRRAP","Low Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","MYH11 (interacts-with) SVIL","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","MYH11 (interacts-with) SVIL","High Throughput"
"pubmed:25147182","Affinity Capture-MS","physical","interacts-with","","HUWE1 (interacts-with) ACACB","","",,"false","interacts-with","HUWE1 (interacts-with) ACACB","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","MYO1C (interacts-with) SVIL","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","MYO1C (interacts-with) SVIL","High Throughput"
"pubmed:31180492","Affinity Capture-MS","physical","interacts-with","","FANCD2 (interacts-with) APOB","","hit proteins associated with FANCD2 but were not '...at least 1.5-fold higher abundance in the FANCD2 pull-down compared to IgG from synchronized and APH (aphidicolin) treated cells in more than half of the experiments from which they were identified'",,"false","interacts-with","FANCD2 (interacts-with) APOB","High Throughput"
"pubmed:22863883|pubmed:31536960","Co-fractionation","physical","interacts-with","","LDHB (interacts-with) YWHAZ","","Protein pairs with Sigma LLS score >= 1.45 derived from NTera2 retinoic acid (RA)-induced differentiated neuronal-like cells (DNLCs)",,"false","interacts-with","LDHB (interacts-with) YWHAZ","High Throughput"
"pubmed:30194290","Proximity Label-MS","physical","interacts-with","","NRAS (interacts-with) MBOAT7","","BioID system:Biotin-labled proteins with at least a 2-fold enrichment and p-value < 0.05 were considered significant.","10.89558514","false","interacts-with","NRAS (interacts-with) MBOAT7","High Throughput"
"pubmed:26496610","Affinity Capture-MS","physical","interacts-with","","KLC3 (interacts-with) SVIL","","interaction detected by quantitative BAC-GFP interactomics (QUBIC)",,"false","interacts-with","KLC3 (interacts-with) SVIL","High Throughput"
