"citation","Confidence Value","interaction","Interaction Detection Methods","name","Presence In Other Species","Publication 1st Author","selected","shared interaction","shared name","Source Databases"
"pubmed:23443559|pubmed:32807901","0.73","interacts-with","MI:0004(affinity chromatography technology)","TP53 (interacts-with) CAD",,"Fogeron ML (0)|Liu J (2020)","false","interacts-with","TP53 (interacts-with) CAD","biogrid"
"pubmed:16189514|pubmed:16713569|pubmed:25416956|pubmed:32296183","0.74","interacts-with","MI:0018(two hybrid)","TRAF2 (interacts-with) THAP7",,"Rual JF (2005)|Lim J (2006)|Rolland T (2014)|Luck K (2020)","false","interacts-with","TRAF2 (interacts-with) THAP7","MI:0468(hprd)|biogrid|MI:0469(intact)|i2d|rual05|lim06|MI:0471(mint)"
"pubmed:16189514|pubmed:16713569","0.73","interacts-with","MI:0018(two hybrid)","TRAF2 (interacts-with) ZNF646",,"Rual JF (2005)|Lim J (2006)","false","interacts-with","TRAF2 (interacts-with) ZNF646","MI:0468(hprd)|biogrid|MI:0469(intact)|i2d|rual05|lim06|MI:0471(mint)"
"pubmed:23022380","0.76","interacts-with","MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)|MI:0007(anti tag coimmunoprecipitation)","NOTCH1 (interacts-with) TOP2B",,"Yatim A (2012)","false","interacts-with","NOTCH1 (interacts-with) TOP2B","biogrid|MI:0469(intact)"
"pubmed:31636387","0.63","interacts-with","MI:0004(affinity chromatography technology)","RBBP8 (interacts-with) HSP90AB1",,"Yu Y (2019)","false","interacts-with","RBBP8 (interacts-with) HSP90AB1",
"pubmed:26496610","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","FLNA (interacts-with) ITPR3",,"Hein MY (2015)","false","interacts-with","FLNA (interacts-with) ITPR3","biogrid|MI:0469(intact)"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","PTK7 (interacts-with) NOTCH2NLA",,"Luck K (2020)","false","interacts-with","PTK7 (interacts-with) NOTCH2NLA",
"pubmed:22000517|pubmed:31413325","0.95","interacts-with","MI:0114(x-ray crystallography)|MI:0065(isothermal titration calorimetry)|MI:0399(two hybrid fragment pooling approach)","KHDRBS1 (interacts-with) APC","taxid:10090(Mus musculus (Mouse))","Morishita EC (2011)|S??gis E (2019)","false","interacts-with","KHDRBS1 (interacts-with) APC","MI:0469(intact)"
"pubmed:23455922|pubmed:25852190|pubmed:26496610|pubmed:32707033","0.88","interacts-with","MI:0676(tandem affinity purification)|MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)","ILK (interacts-with) CAD",,"Varjosalo M (2013)|So J (2015)|Hein MY (2015)|Buljan M (2020)","false","interacts-with","ILK (interacts-with) CAD","MI:0469(intact)|biogrid"
"pubmed:23414517","0.72","interacts-with","MI:0399(two hybrid fragment pooling approach)|MI:0018(two hybrid)","NEB (interacts-with) STRADB",,"Blandin G (2013)","false","interacts-with","NEB (interacts-with) STRADB","MI:0469(intact)"
"pubmed:27576135","0.63","interacts-with","MI:0004(affinity chromatography technology)","GPC1 (interacts-with) PLEC",,"Kawahara R (2016)","false","interacts-with","GPC1 (interacts-with) PLEC",
"pubmed:31239290|pubmed:32416067","0.73","interacts-with","MI:0004(affinity chromatography technology)","BRD4 (interacts-with) CAD",,"Erber L (2019)|Shu S (2020)","false","interacts-with","BRD4 (interacts-with) CAD",
"pubmed:15753034","0.52","interacts-with","MI:0493(in vivo)","CNKSR1 (interacts-with) MAP3K10",,"Jaffe AB (2005)","false","interacts-with","CNKSR1 (interacts-with) MAP3K10","MI:0468(hprd)|i2d"
"pubmed:17526737","0.52","interacts-with","MI:0415(enzymatic study)","ILK (interacts-with) NOTCH1",,"Mo JS (2007)","false","interacts-with","ILK (interacts-with) NOTCH1","biogrid"
"pubmed:28514442","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","PDE4DIP (interacts-with) PDE4DIP",,"Huttlin EL (2017)","false","interacts-with","PDE4DIP (interacts-with) PDE4DIP","biogrid"
"pubmed:15196700","0.52","interacts-with","MI:0493(in vivo)","ACVR1B (interacts-with) ACVR1B",,"Tsuchida K (2004)","false","interacts-with","ACVR1B (interacts-with) ACVR1B","MI:0468(hprd)|i2d"
"pubmed:31180492","0.63","interacts-with","MI:0004(affinity chromatography technology)","FANCD2 (interacts-with) LDHB",,"Pladevall-Morera D (2019)","false","interacts-with","FANCD2 (interacts-with) LDHB",
"pubmed:31239290","0.63","interacts-with","MI:0004(affinity chromatography technology)","BRD4 (interacts-with) MYH14",,"Erber L (2019)","false","interacts-with","BRD4 (interacts-with) MYH14",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","STX17 (interacts-with) EML2",,"Huttlin EL (2021)","false","interacts-with","STX17 (interacts-with) EML2",
"pubmed:25920683","0.63","interacts-with","MI:0007(anti tag coimmunoprecipitation)","DDX41 (interacts-with) HNRNPCL1",,"Polprasert C (2015)","false","interacts-with","DDX41 (interacts-with) HNRNPCL1","MI:0469(intact)"
"pubmed:34079125|pubmed:30194290","0.73","interacts-with","bioid","KRAS (interacts-with) HLA-A",,"Go CD (2021)|Adhikari H (2018)","false","interacts-with","KRAS (interacts-with) HLA-A",
"pubmed:30639242|pubmed:34079125","0.73","interacts-with","bioid","KRAS (interacts-with) HLA-C",,"Kovalski JR (2019)|Go CD (2021)","false","interacts-with","KRAS (interacts-with) HLA-C",
"pubmed:27649529","0.72","interacts-with","MI:0107(surface plasmon resonance)","HLA-B (interacts-with) LILRB1",,"Burian A (2016)","false","interacts-with","HLA-B (interacts-with) LILRB1","MI:0469(intact)"
"pubmed:17353931","0.76","interacts-with","Affinity Capture-MS|MI:0004(affinity chromatography technology)|MI:0006(anti bait coimmunoprecipitation)","HLA-B (interacts-with) EZR",,"Ewing RM (2007)","false","interacts-with","HLA-B (interacts-with) EZR","biogrid"
"pubmed:19380743","0.63","interacts-with","MI:0004(affinity chromatography technology)","AP2M1 (interacts-with) MAP4",,"Brehme M (2009)","false","interacts-with","AP2M1 (interacts-with) MAP4","biogrid"
"pubmed:31871319","0.63","interacts-with","MI:0004(affinity chromatography technology)","RHOQ (interacts-with) SRGAP2",,"Bagci H (2019)","false","interacts-with","RHOQ (interacts-with) SRGAP2",
"pubmed:16189514|pubmed:25416956","0.73","interacts-with","MI:0018(two hybrid)","VCL (interacts-with) VCL",,"Rual JF (2005)|Rolland T (2014)","false","interacts-with","VCL (interacts-with) VCL","rual05|biogrid|MI:0469(intact)"
"pubmed:26496610","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","KLC3 (interacts-with) SVIL",,"Hein MY (2015)","false","interacts-with","KLC3 (interacts-with) SVIL","biogrid|MI:0469(intact)"
"pubmed:11801738","0.52","interacts-with","MI:0493(in vivo)","C1D (interacts-with) C1D",,"Erdemir T (2002)","false","interacts-with","C1D (interacts-with) C1D","MI:0468(hprd)|i2d"
"pubmed:24981860","0.63","interacts-with","MI:0004(affinity chromatography technology)","KMT2C (interacts-with) KMT2B",,"Marcon E (2014)","false","interacts-with","KMT2C (interacts-with) KMT2B",
"pubmed:10644689","0.68","interacts-with","MI:0004(affinity chromatography technology)|MI:0096(pull down)","AVPR2 (interacts-with) AVPR2",,"Schulz A (2000)","false","interacts-with","AVPR2 (interacts-with) AVPR2","biogrid"
"pubmed:25852190|pubmed:32707033","0.78","interacts-with","MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)","ILK (interacts-with) HLA-A",,"So J (2015)|Buljan M (2020)","false","interacts-with","ILK (interacts-with) HLA-A","MI:0469(intact)"
"pubmed:29511261","0.63","interacts-with","MI:0004(affinity chromatography technology)","HERC2 (interacts-with) PLEC",,"Saez I (2018)","false","interacts-with","HERC2 (interacts-with) PLEC","biogrid"
"pubmed:11782480|pubmed:16189514","0.62","interacts-with","MI:0492(in vitro)","RXRB (interacts-with) RXRB",,"Love JD (2002)|Rual JF (2005)","false","interacts-with","RXRB (interacts-with) RXRB","MI:0468(hprd)|i2d|rual05"
"pubmed:31180492","0.63","interacts-with","MI:0004(affinity chromatography technology)","FANCD2 (interacts-with) SLC25A5",,"Pladevall-Morera D (2019)","false","interacts-with","FANCD2 (interacts-with) SLC25A5",
"pubmed:31239290","0.63","interacts-with","MI:0004(affinity chromatography technology)","BRD4 (interacts-with) LDHB",,"Erber L (2019)","false","interacts-with","BRD4 (interacts-with) LDHB",
"pubmed:9447963|pubmed:16713569","0.77","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)","GEMIN2 (interacts-with) U2AF2",,"Zhang WJ (1998)|Lim J (2006)","false","interacts-with","GEMIN2 (interacts-with) U2AF2","MI:0468(hprd)|i2d|lim06"
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) HADHB",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) HADHB","biogrid"
"pubmed:17353931","0.63","interacts-with","MI:0006(anti bait coimmunoprecipitation)","HLA-A (interacts-with) HLA-A",,"Ewing RM (2007)","false","interacts-with","HLA-A (interacts-with) HLA-A",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","KRT38 (interacts-with) APC",,"Huttlin EL (2021)","false","interacts-with","KRT38 (interacts-with) APC",
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) FLNC",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) FLNC","biogrid"
"pubmed:34079125","0.63","interacts-with","bioid","KRAS (interacts-with) ABL2",,"Go CD (2021)","false","interacts-with","KRAS (interacts-with) ABL2",
"pubmed:27591049","0.63","interacts-with","MI:0004(affinity chromatography technology)","CYLD (interacts-with) FLG",,"Elliott PR (2016)","false","interacts-with","CYLD (interacts-with) FLG","biogrid"
"pubmed:32416067","0.63","interacts-with","MI:0004(affinity chromatography technology)","BRD4 (interacts-with) IRF2BPL",,"Shu S (2020)","false","interacts-with","BRD4 (interacts-with) IRF2BPL",
"pubmed:34079125","0.63","interacts-with","bioid","KRAS (interacts-with) PAK2",,"Go CD (2021)","false","interacts-with","KRAS (interacts-with) PAK2",
"pubmed:8626450","0.62","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)","TOP2B (interacts-with) TOP2B","taxid:4932(Saccharomyces cerevisiae (Baker's yeast))","Nakano H (1996)","false","interacts-with","TOP2B (interacts-with) TOP2B","MI:0468(hprd)|homomint|i2d"
"pubmed:34079125","0.63","interacts-with","bioid","DHFR2 (interacts-with) HUWE1",,"Go CD (2021)","false","interacts-with","DHFR2 (interacts-with) HUWE1",
"pubmed:27591049|pubmed:31762063","0.82","interacts-with","MI:0004(affinity chromatography technology)|bioid","CYLD (interacts-with) FLNA",,"Elliott PR (2016)|Yang XD (2019)","false","interacts-with","CYLD (interacts-with) FLNA","biogrid"
"pubmed:17607528","0.63","interacts-with","MI:0018(two hybrid)","SPTAN1 (interacts-with) TAF1",,"Oh Y (2007)","false","interacts-with","SPTAN1 (interacts-with) TAF1","biogrid"
"pubmed:10666337|pubmed:16713569","0.88","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Affinity Capture-Western|Reconstituted Complex|MI:0004(affinity chromatography technology)|MI:0096(pull down)","TP53 (interacts-with) TOP2B",,"Cowell IG (2000)|Lim J (2006)","false","interacts-with","TP53 (interacts-with) TOP2B","MI:0468(hprd)|biogrid|i2d|lim06"
"pubmed:25144556|pubmed:32807901","0.73","interacts-with","MI:0004(affinity chromatography technology)","TP53 (interacts-with) SLC25A5",,"Horikawa I (2014)|Liu J (2020)","false","interacts-with","TP53 (interacts-with) SLC25A5","biogrid"
"pubmed:11250903","0.52","interacts-with","MI:0493(in vivo)","TAF1A (interacts-with) TAF1A",,"Miller G (2001)","false","interacts-with","TAF1A (interacts-with) TAF1A","MI:0468(hprd)|i2d"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","CNKSR1 (interacts-with) ZGPAT",,"Luck K (2020)","false","interacts-with","CNKSR1 (interacts-with) ZGPAT",
"pubmed:16189514|pubmed:25416956|pubmed:32296183","0.74","interacts-with","MI:0018(two hybrid)","SIRPA (interacts-with) TRIM2",,"Rual JF (2005)|Rolland T (2014)|Luck K (2020)","false","interacts-with","SIRPA (interacts-with) TRIM2","MI:0468(hprd)|biogrid|MI:0469(intact)|i2d|rual05"
"pubmed:31180492","0.63","interacts-with","MI:0004(affinity chromatography technology)","FANCD2 (interacts-with) HSP90AB1",,"Pladevall-Morera D (2019)","false","interacts-with","FANCD2 (interacts-with) HSP90AB1",
"pubmed:16189514","0.49","interacts-with","-","HADHB (interacts-with) VCL",,"Rual JF (2005)","false","interacts-with","HADHB (interacts-with) VCL","rual05"
"pubmed:10336495","0.77","interacts-with","MI:0018(two hybrid)|Reconstituted Complex|MI:0096(pull down)","RARG (interacts-with) NCOR1",,"Dowell P (1999)","false","interacts-with","RARG (interacts-with) NCOR1","biogrid"
"pubmed:16252006","0.63","interacts-with","MI:0004(affinity chromatography technology)","BAZ1B (interacts-with) NCOR1",,"Fujiki R (2005)","false","interacts-with","BAZ1B (interacts-with) NCOR1","biogrid"
"pubmed:31753913","0.63","interacts-with","MI:0004(affinity chromatography technology)","TAF1 (interacts-with) ATN1",,"Kim JJ (2019)","false","interacts-with","TAF1 (interacts-with) ATN1",
"pubmed:20457939","0.63","interacts-with","MI:0071(molecular sieving)|MI:0404(comigration in non denaturing gel electrophoresis)","ACACB (interacts-with) ACACB",,"Kim CW (2010)","false","interacts-with","ACACB (interacts-with) ACACB","MI:0469(intact)"
"pubmed:20936779","0.63","interacts-with","MI:0018(two hybrid)","YWHAZ (interacts-with) WNK2",,"Bandyopadhyay S (2010)","false","interacts-with","YWHAZ (interacts-with) WNK2","biogrid"
"pubmed:28514442|pubmed:33961781","0.82","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","IL31RA (interacts-with) GPNMB",,"Huttlin EL (2017)|Huttlin EL (2021)","false","interacts-with","IL31RA (interacts-with) GPNMB","biogrid"
"pubmed:16189514|pubmed:16713569","0.59","interacts-with","-","VCL (interacts-with) U2AF2",,"Rual JF (2005)|Lim J (2006)","false","interacts-with","VCL (interacts-with) U2AF2","rual05|lim06"
"pubmed:29568061|pubmed:34079125","0.73","interacts-with","bioid","EZR (interacts-with) SVIL",,"Liu X (2018)|Go CD (2021)","false","interacts-with","EZR (interacts-with) SVIL","MI:0469(intact)"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","MBNL1 (interacts-with) IGLL5",,"Huttlin EL (2021)","false","interacts-with","MBNL1 (interacts-with) IGLL5",
"pubmed:25416956|pubmed:32296183","0.73","interacts-with","MI:0018(two hybrid)","NOTCH2NLA (interacts-with) KRTAP4-11",,"Rolland T (2014)|Luck K (2020)","false","interacts-with","NOTCH2NLA (interacts-with) KRTAP4-11","biogrid|MI:0469(intact)"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","C1QTNF9B (interacts-with) COL14A1",,"Huttlin EL (2021)","false","interacts-with","C1QTNF9B (interacts-with) COL14A1",
"pubmed:24556218|pubmed:24794430|pubmed:24794434|pubmed:31180492","0.87","interacts-with","MI:0004(affinity chromatography technology)|MI:0055(fluorescent resonance energy transfer)|MI:0096(pull down)|MI:0428(imaging technique)","RBBP8 (interacts-with) FANCD2",,"Yeo JE (2014)|Unno J (2014)|Murina O (2014)|Pladevall-Morera D (2019)","false","interacts-with","RBBP8 (interacts-with) FANCD2","biogrid"
"pubmed:19850925|pubmed:26468283|pubmed:19505476","0.69","interacts-with","MI:0028(cosedimentation in solution)|MI:0892(solid phase assay)","CFH (interacts-with) CFH",,"Okemefuna AI (2009)|Haapasalo K (2015)|Okemefuna AI (2009)","false","interacts-with","CFH (interacts-with) CFH",
"pubmed:26496610","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","RAB7A (interacts-with) MBOAT7",,"Hein MY (2015)","false","interacts-with","RAB7A (interacts-with) MBOAT7","biogrid|MI:0469(intact)"
"pubmed:22939629","0.63","interacts-with","MI:0401(biochemical)","FLNC (interacts-with) SF3A3",,"Havugimana PC (2012)","false","interacts-with","FLNC (interacts-with) SF3A3","biogrid"
"pubmed:26496610","0.72","interacts-with","MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation)","VCL (interacts-with) MYO1C",,"Hein MY (2015)","false","interacts-with","VCL (interacts-with) MYO1C","biogrid|MI:0469(intact)"
"pubmed:28515276","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRPF8 (interacts-with) HSP90AB1",,"Malinov?? A (2017)","false","interacts-with","PRPF8 (interacts-with) HSP90AB1","biogrid"
"pubmed:23153539","0.63","interacts-with","MI:0006(anti bait coimmunoprecipitation)","TRAF3 (interacts-with) BRAF",,"Lito P (2012)","false","interacts-with","TRAF3 (interacts-with) BRAF","MI:0469(intact)"
"pubmed:28675297","0.63","interacts-with","MI:0004(affinity chromatography technology)","DUSP2 (interacts-with) SNRNP200",,"Kumar P (2017)","false","interacts-with","DUSP2 (interacts-with) SNRNP200",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRKRA (interacts-with) ZFP62",,"Huttlin EL (2021)","false","interacts-with","PRKRA (interacts-with) ZFP62",
"pubmed:29187741","0.56","interacts-with","MI:0096(pull down)","MYH6 (interacts-with) MYH6",,"Fili N (2017)","false","interacts-with","MYH6 (interacts-with) MYH6",
"-","0.0","interacts-with","-","RHOQ (interacts-with) VAV1",,,"false","interacts-with","RHOQ (interacts-with) VAV1","MI:1014(string)"
"pubmed:15171716|pubmed:15937332|pubmed:24909783|pubmed:17277083","0.89","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|MI:0018(two hybrid)|MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)","PGR (interacts-with) PGR",,"Dong X (2004)|Zhang Z (2005)|Goswami D (2014)|Connaghan-Jones KD (2007)","false","interacts-with","PGR (interacts-with) PGR","MI:0468(hprd)|i2d|biogrid|MI:0469(intact)"
"pubmed:30652415","0.63","interacts-with","MI:0004(affinity chromatography technology)","PRKD2 (interacts-with) CUL9",,"Liu Y (2019)","false","interacts-with","PRKD2 (interacts-with) CUL9",
"pubmed:26638075","0.63","interacts-with","bioid","TMEM216 (interacts-with) RAB7A",,"Gupta GD (2015)","false","interacts-with","TMEM216 (interacts-with) RAB7A","biogrid|MI:0469(intact)"
"pubmed:14667819|pubmed:18587051","0.86","interacts-with","MI:0018(two hybrid)|MI:0114(x-ray crystallography)","TDG (interacts-with) TDG",,"Lehner B (2004)|Maiti A (2008)","false","interacts-with","TDG (interacts-with) TDG","MI:0468(hprd)|MI:0465(dip)|i2d|MI:0469(intact)"
"pubmed:27173435","0.63","interacts-with","MI:0004(affinity chromatography technology)","CAMSAP2 (interacts-with) SRGAP2",,"Boldt K (2016)","false","interacts-with","CAMSAP2 (interacts-with) SRGAP2","biogrid"
"pubmed:23414517","0.72","interacts-with","MI:0399(two hybrid fragment pooling approach)|MI:0018(two hybrid)","TTN (interacts-with) RYR1",,"Blandin G (2013)","false","interacts-with","TTN (interacts-with) RYR1","MI:0469(intact)"
"pubmed:29128334","0.63","interacts-with","MI:0004(affinity chromatography technology)","SDHA (interacts-with) RAB21",,"Malty RH (2017)","false","interacts-with","SDHA (interacts-with) RAB21","biogrid"
"pubmed:34079125","0.63","interacts-with","bioid","DHFR2 (interacts-with) STT3B",,"Go CD (2021)","false","interacts-with","DHFR2 (interacts-with) STT3B",
"pubmed:34079125","0.63","interacts-with","bioid","KRT8 (interacts-with) FAM83H",,"Go CD (2021)","false","interacts-with","KRT8 (interacts-with) FAM83H",
"pubmed:19293945","0.63","interacts-with","MI:0018(two hybrid)","PRSS3 (interacts-with) FLNC",,"Bell R (2009)","false","interacts-with","PRSS3 (interacts-with) FLNC","bell09"
"pubmed:11113628","0.55","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)","PKD1 (interacts-with) VCL",,"Geng L (2000)","false","interacts-with","PKD1 (interacts-with) VCL","MI:0468(hprd)|i2d"
"pubmed:21078624","0.63","interacts-with","MI:0018(two hybrid)","CACNA1A (interacts-with) CKAP5",,"Kahle JJ (2010)","false","interacts-with","CACNA1A (interacts-with) CKAP5","biogrid|MI:0469(intact)"
"pubmed:27561390","0.7","interacts-with","MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0415(enzymatic study)","TP53 (interacts-with) CYLD",,"Fern??ndez-Majada V (2016)","false","interacts-with","TP53 (interacts-with) CYLD","biogrid"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","IGLL5 (interacts-with) FGFR3",,"Huttlin EL (2021)","false","interacts-with","IGLL5 (interacts-with) FGFR3",
"pubmed:30021884","0.72","interacts-with","MI:0030(cross-linking study)|bioid","PLEC (interacts-with) MYO18B",,"Fasci D (2018)","false","interacts-with","PLEC (interacts-with) MYO18B","MI:0469(intact)"
"pubmed:27173435","0.63","interacts-with","MI:0004(affinity chromatography technology)","CAMSAP2 (interacts-with) NF1",,"Boldt K (2016)","false","interacts-with","CAMSAP2 (interacts-with) NF1","biogrid"
"pubmed:8617928|pubmed:8760804|pubmed:12853576|pubmed:9531263","0.66","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)","HLA-A (interacts-with) HLA-A",,"D??hring C (1996)|Pende D (1996)|Shiroishi M (2003)|Colonna M (1998)","false","interacts-with","HLA-A (interacts-with) HLA-A","MI:0468(hprd)"
"pubmed:10075701|pubmed:9786869|pubmed:16837009|pubmed:7673144","0.89","interacts-with","MI:0492(in vitro)|MI:0424(protein kinase assay)|MI:0028(cosedimentation in solution)|MI:0067(light scattering)|MI:0415(enzymatic study)","PAK2 (interacts-with) PAK2",,"Gatti A (1999)|Walter BN (1998)|Pirruccello M (2006)|Benner GE (1995)","false","interacts-with","PAK2 (interacts-with) PAK2","MI:0468(hprd)|MI:0469(intact)|i2d|biogrid"
"pubmed:32296183","0.63","interacts-with","MI:0018(two hybrid)","GPR152 (interacts-with) GPR152",,"Luck K (2020)","false","interacts-with","GPR152 (interacts-with) GPR152",
"pubmed:17353931","0.63","interacts-with","MI:0006(anti bait coimmunoprecipitation)","HLA-C (interacts-with) RNF213",,"Ewing RM (2007)","false","interacts-with","HLA-C (interacts-with) RNF213","MI:0469(intact)"
"pubmed:12897781|pubmed:16189514","0.88","interacts-with","MI:0492(in vitro)|Co-crystal Structure|MI:0114(x-ray crystallography)","LILRB1 (interacts-with) HLA-A",,"Willcox BE (2003)|Rual JF (2005)","false","interacts-with","LILRB1 (interacts-with) HLA-A","MI:0468(hprd)|biogrid|rual05"
"pubmed:11901144","0.63","interacts-with","MI:0401(biochemical)","PKD1 (interacts-with) PKD1",,"Newby LJ (2002)","false","interacts-with","PKD1 (interacts-with) PKD1","biogrid"
"pubmed:8617928|pubmed:8760804","0.86","interacts-with","MI:0492(in vitro)|MI:0493(in vivo)|Reconstituted Complex|MI:0096(pull down)","KIR3DL2 (interacts-with) HLA-A",,"D??hring C (1996)|Pende D (1996)","false","interacts-with","KIR3DL2 (interacts-with) HLA-A","MI:0468(hprd)|biogrid"
"pubmed:16336193","0.63","interacts-with","MI:0018(two hybrid)","SPTA1 (interacts-with) ENAH",,"Bournier O (2006)","false","interacts-with","SPTA1 (interacts-with) ENAH","MI:0468(hprd)|MI:0471(mint)|i2d|MI:0469(intact)"
"pubmed:12853576|pubmed:9531263","0.62","interacts-with","MI:0492(in vitro)","LILRB2 (interacts-with) HLA-A",,"Shiroishi M (2003)|Colonna M (1998)","false","interacts-with","LILRB2 (interacts-with) HLA-A","MI:0468(hprd)"
"pubmed:12853576|pubmed:9531263|pubmed:25132672","0.76","interacts-with","MI:0492(in vitro)|MI:0004(affinity chromatography technology)","HLA-B (interacts-with) HLA-B",,"Shiroishi M (2003)|Colonna M (1998)|Guiliano DB (2014)","false","interacts-with","HLA-B (interacts-with) HLA-B","MI:0468(hprd)|i2d|biogrid"
"-","0.14","interacts-with","MI:0006(anti bait coimmunoprecipitation)","PABPC1 (interacts-with) IRS1",,,"false","interacts-with","PABPC1 (interacts-with) IRS1","MI:0469(intact)"
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","KLC3 (interacts-with) RGPD8",,"Huttlin EL (2021)","false","interacts-with","KLC3 (interacts-with) RGPD8",
"pubmed:12853576|pubmed:16189514","0.85","interacts-with","MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)","LILRB1 (interacts-with) HLA-B",,"Shiroishi M (2003)|Rual JF (2005)","false","interacts-with","LILRB1 (interacts-with) HLA-B","MI:0468(hprd)|biogrid|i2d|rual05"
"pubmed:30442766","0.63","interacts-with","bioid","KRAS (interacts-with) SPTA1",,"Bigenzahn JW (2018)","false","interacts-with","KRAS (interacts-with) SPTA1",
"pubmed:9218428|pubmed:3134349|pubmed:18492805|pubmed:8562925|pubmed:27749002","0.9","interacts-with","MI:0492(in vitro)|Reconstituted Complex|MI:0411(enzyme linked immunosorbent assay)|MI:0096(pull down)|MI:0892(solid phase assay)|MI:0107(surface plasmon resonance)","F8 (interacts-with) VWF",,"Saenko EL (1997)|Lollar P (1988)|Cao W (2008)|Kroner PA (1996)|Nguyen GN (2016)","false","interacts-with","F8 (interacts-with) VWF","MI:0468(hprd)|biogrid|MI:0465(dip)|i2d|MI:0469(intact)"
"pubmed:12853576|pubmed:9531263|pubmed:27649529","0.89","interacts-with","MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)|MI:0107(surface plasmon resonance)","LILRB2 (interacts-with) HLA-B",,"Shiroishi M (2003)|Colonna M (1998)|Burian A (2016)","false","interacts-with","LILRB2 (interacts-with) HLA-B","MI:0468(hprd)|biogrid|i2d"
"pubmed:27684187","0.63","interacts-with","MI:0004(affinity chromatography technology)","KRAS (interacts-with) PABPC1",,"Rosenbluh J (2016)","false","interacts-with","KRAS (interacts-with) PABPC1","biogrid"
"pubmed:34079125","0.63","interacts-with","bioid","DHFR2 (interacts-with) TRPM7",,"Go CD (2021)","false","interacts-with","DHFR2 (interacts-with) TRPM7",
"pubmed:33961781","0.63","interacts-with","MI:0004(affinity chromatography technology)","HLA-B (interacts-with) MROH1",,"Huttlin EL (2021)","false","interacts-with","HLA-B (interacts-with) MROH1",
"pubmed:34079125","0.63","interacts-with","bioid","KRAS (interacts-with) GPRIN3",,"Go CD (2021)","false","interacts-with","KRAS (interacts-with) GPRIN3",
"pubmed:12853576|pubmed:16189514","0.85","interacts-with","MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)","LILRB1 (interacts-with) HLA-C",,"Shiroishi M (2003)|Rual JF (2005)","false","interacts-with","LILRB1 (interacts-with) HLA-C","MI:0468(hprd)|biogrid|rual05"
"pubmed:16637659","0.52","interacts-with","MI:0492(in vitro)","SCN5A (interacts-with) SCN5A",,"Stiffler MA (2006)","false","interacts-with","SCN5A (interacts-with) SCN5A","MI:0468(hprd)|i2d"
"pubmed:12853576","0.75","interacts-with","MI:0492(in vitro)|Reconstituted Complex|MI:0096(pull down)","LILRB2 (interacts-with) HLA-C",,"Shiroishi M (2003)","false","interacts-with","LILRB2 (interacts-with) HLA-C","MI:0468(hprd)|biogrid"
"pubmed:27114453|pubmed:30335751","0.8","interacts-with","MI:0004(affinity chromatography technology)|MI:0096(pull down)|MI:0428(imaging technique)","UHRF2 (interacts-with) FANCD2",,"Lai M (2016)|Motnenko A (2018)","false","interacts-with","UHRF2 (interacts-with) FANCD2","biogrid"
