citation,Confidence Value,evidence: CCMI,evidence: Co-dependence,evidence: mRNA co-expression,evidence: Physical,evidence: Protein co-expression,evidence: Sequence similarity,Experimental System,Experimental System Type,FBS_max,Integrated score,interaction,Interaction Detection Methods,LLS,Modification,name,PFC,Phenotypes,Presence In Other Species,Publication 1st Author,Qualifications,Score,selected,shared interaction,shared name,Source Databases,Throughput
pubmed:28514442|pubmed:33961781|pubmed:24981860,0.83,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation),,,BCL7A (interacts-with) ARID2,,,,Huttlin EL (2017)|Huttlin EL (2021)|Marcon E (2014),"BioPlex 2.0 HEK 293T cells CompPASS score = 0.999891678, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11|BioPlex 3.0 HEK 293T cells CompPASS score = 0.995933828, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 0.999996546, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999891678|35.60471682|0.995933828,false,interacts-with,BCL7A (interacts-with) ARID2,biogrid,High Throughput
pubmed:28514442|pubmed:33961781,0.82,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation),,,BCL7A (interacts-with) GSN,,,,Huttlin EL (2017)|Huttlin EL (2021),"BioPlex 2.0 HEK 293T cells CompPASS score = 0.999478558, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.999343765, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999478558|0.999343765,false,interacts-with,BCL7A (interacts-with) GSN,biogrid,High Throughput
pubmed:28514442|pubmed:33961781,0.73,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation),,,BCL7A (interacts-with) POTEJ,,,,Huttlin EL (2017)|Huttlin EL (2021),"BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999998, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.999999997, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999999998|0.999999997|0.999999997422982,false,interacts-with,BCL7A (interacts-with) POTEJ,biogrid,High Throughput
pubmed:28514442|pubmed:33961781,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,ATP2B2 (interacts-with) ATP2B4,,,,,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.999981125, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.999986636, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 0.999986127, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999981125|0.999986636,false,interacts-with,ATP2B2 (interacts-with) ATP2B4,,High Throughput
pubmed:28514442|pubmed:33961781,0.82,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation),,,ATP2B2 (interacts-with) ATP2B3,,,,Huttlin EL (2017)|Huttlin EL (2021),"BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999896, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.999999935, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999999935037791|0.999999896|0.999999935,false,interacts-with,ATP2B2 (interacts-with) ATP2B3,biogrid,High Throughput
pubmed:28514442|pubmed:33961781,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,ATP2B2 (interacts-with) CLU,,,,,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.999913591, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.999983037, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999913591|0.999983037,false,interacts-with,ATP2B2 (interacts-with) CLU,,High Throughput
pubmed:34745083,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,TRAF3 (interacts-with) CDS2,,,,,,,false,interacts-with,TRAF3 (interacts-with) CDS2,,High Throughput
pubmed:9122217|pubmed:10781837|pubmed:15383523|pubmed:14517219|pubmed:9388227|pubmed:7533327|pubmed:9718306|pubmed:32296183,0.9,,,,,,,Two-hybrid|FRET|Affinity Capture-Western|Co-crystal Structure,physical,,,interacts-with,MI:0493(in vivo)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)|MI:0055(fluorescent resonance energy transfer)|MI:0114(x-ray crystallography),,,TRAF3 (interacts-with) TRAF3,,,,VanArsdale TL (1997)|Gamper C (2000)|He L (2004)|Li C (2003)|Force WR (1997)|Cheng G (1995)|Pullen SS (1998)|Luck K (2020),"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,TRAF3 (interacts-with) TRAF3,MI:0468(hprd)|biogrid|i2d,Low Throughput|High Throughput
pubmed:10835362,0.63,,,,,,,Two-hybrid,physical,,,interacts-with,MI:0018(two hybrid),,,TERT (interacts-with) YWHAZ,,,,Seimiya H (2000),,,false,interacts-with,TERT (interacts-with) YWHAZ,biogrid,Low Throughput
pubmed:23741361,0.63,,,,,,,Two-hybrid,physical,,,interacts-with,MI:0018(two hybrid),,,TERT (interacts-with) PABPC1,,,,Wang W (2013),,,false,interacts-with,TERT (interacts-with) PABPC1,biogrid,Low Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,TERT (interacts-with) PRKD2,,,,Huttlin EL (2021),"BioPlex 3.0 HEK 293T cells CompPASS score = 0.846315758, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.846315758,false,interacts-with,TERT (interacts-with) PRKD2,,High Throughput
pubmed:12421829,,,,,,,,Affinity Capture-Western,physical,,,interacts-with,,,,Itpr3 (interacts-with) UBC,,,,,,,false,interacts-with,Itpr3 (interacts-with) UBC,,Low Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,KRTAP5-2 (interacts-with) KRTAP10-7,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,KRTAP5-2 (interacts-with) KRTAP10-7,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,KRTAP5-2 (interacts-with) KRTAP5-9,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,KRTAP5-2 (interacts-with) KRTAP5-9,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,KRTAP5-2 (interacts-with) KRTAP5-7,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,KRTAP5-2 (interacts-with) KRTAP5-7,,High Throughput
pubmed:32296183,0.63,,,,,,,Two-hybrid,physical,,,interacts-with,MI:0018(two hybrid),,,KRTAP5-2 (interacts-with) KRTAP5-4,,,,Luck K (2020),"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,KRTAP5-2 (interacts-with) KRTAP5-4,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,KRTAP5-2 (interacts-with) LCE1F,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,KRTAP5-2 (interacts-with) LCE1F,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP5-9,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP5-9,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP5-7,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP5-7,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP5-4,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP5-4,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP4-11,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP4-11,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP5-2,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP5-2,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) LCE1F,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) LCE1F,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP1-5,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP1-5,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP10-8,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP10-8,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP5-11,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP5-11,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) KRTAP4-5,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) KRTAP4-5,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,LCE1E (interacts-with) LCE1E,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,LCE1E (interacts-with) LCE1E,,High Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,KIR3DL3 (interacts-with) HLA-C,,,,Huttlin EL (2021),"BioPlex 3.0 HEK 293T cells CompPASS score = 0.894680059, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.894680058932887|0.894680059,false,interacts-with,KIR3DL3 (interacts-with) HLA-C,,High Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,KIR3DL3 (interacts-with) HLA-B,,,,Huttlin EL (2021),"BioPlex 3.0 HEK 293T cells CompPASS score = 0.90297025, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.902970250219673|0.90297025,false,interacts-with,KIR3DL3 (interacts-with) HLA-B,,High Throughput
pubmed:22863883,0.72,,,,,,,Co-fractionation,physical,,,interacts-with,MI:0004(affinity chromatography technology)|MI:0401(biochemical),,,FUBP1 (interacts-with) CNN2,,,,Kristensen AR (2012),,,false,interacts-with,FUBP1 (interacts-with) CNN2,biogrid,High Throughput
pubmed:18174161,,,,,,,,Biochemical Activity,physical,,,interacts-with,,,Deubiquitination,Cyld (interacts-with) UBC,,,,,Figure 5|source of ubiquitin not clear,,false,interacts-with,Cyld (interacts-with) UBC,,Low Throughput
pubmed:25416956|pubmed:32296183,0.73,,,,,,,Two-hybrid,physical,,,interacts-with,MI:0018(two hybrid),,,THAP7 (interacts-with) KRTAP10-8,,,,Rolland T (2014)|Luck K (2020),"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,THAP7 (interacts-with) KRTAP10-8,biogrid|MI:0469(intact),High Throughput
pubmed:25416956|pubmed:32296183,0.73,,,,,,,Two-hybrid,physical,,,interacts-with,MI:0018(two hybrid),,,THAP7 (interacts-with) THAP7,,,,Rolland T (2014)|Luck K (2020),"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,THAP7 (interacts-with) THAP7,biogrid|MI:0469(intact),High Throughput
pubmed:26186194|pubmed:28514442|pubmed:33961781,0.83,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology)|MI:0007(anti tag coimmunoprecipitation),,,THAP7 (interacts-with) ASH1L,,,,Huttlin EL (2015)|Huttlin EL (2017)|Huttlin EL (2021),"BioPlex 1.0 HEK 293T cells CompPASS score = 0.867420884, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.|BioPlex 2.0 HEK 293T cells CompPASS score = 0.796336405, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.818402982, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.867420884|0.796336405|0.818402982,false,interacts-with,THAP7 (interacts-with) ASH1L,biogrid,High Throughput
pubmed:26186194|pubmed:28514442|pubmed:33961781,,,,,,,,Affinity Capture-MS,physical,,,interacts-with,,,,THAP7 (interacts-with) RPS27A,,,,,"BioPlex 1.0 HEK 293T cells CompPASS score = 0.999984768, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.|BioPlex 2.0 HEK 293T cells CompPASS score = 0.999729274, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.|BioPlex 3.0 HEK 293T cells CompPASS score = 0.999951643, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999984768|0.999729274|0.999951643,false,interacts-with,THAP7 (interacts-with) RPS27A,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,MYPOP (interacts-with) KRTAP10-8,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,MYPOP (interacts-with) KRTAP10-8,,High Throughput
pubmed:32296183,,,,,,,,Two-hybrid,physical,,,interacts-with,,,,MYPOP (interacts-with) KRTAP10-7,,,,,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",,false,interacts-with,MYPOP (interacts-with) KRTAP10-7,,High Throughput
pubmed:33961781,0.63,,,,,,,Affinity Capture-MS,physical,,,interacts-with,MI:0004(affinity chromatography technology),,,VRTN (interacts-with) SALL3,,,,Huttlin EL (2021),"BioPlex 3.0 HEK 293T cells CompPASS score = 0.999999681, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",0.999999681,false,interacts-with,VRTN (interacts-with) SALL3,,High Throughput
pubmed:26638075,0.63,,,,,,,Proximity Label-MS,physical,,,interacts-with,bioid,,,TMEM216 (interacts-with) STT3B,,,,Gupta GD (2015),BioID,,false,interacts-with,TMEM216 (interacts-with) STT3B,biogrid|MI:0469(intact),High Throughput
pubmed:26638075,0.63,,,,,,,Proximity Label-MS,physical,,,interacts-with,bioid,,,TMEM216 (interacts-with) WDR11,,,,Gupta GD (2015),BioID,,false,interacts-with,TMEM216 (interacts-with) WDR11,biogrid|MI:0469(intact),High Throughput
pubmed:26638075,0.63,,,,,,,Proximity Label-MS,physical,,,interacts-with,bioid,,,TMEM216 (interacts-with) RAB7A,,,,Gupta GD (2015),BioID,,false,interacts-with,TMEM216 (interacts-with) RAB7A,biogrid|MI:0469(intact),High Throughput
pubmed:26638075,0.63,,,,,,,Proximity Label-MS,physical,,,interacts-with,bioid,,,TMEM216 (interacts-with) GBA2,,,,Gupta GD (2015),BioID,,false,interacts-with,TMEM216 (interacts-with) GBA2,biogrid|MI:0469(intact),High Throughput
